Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Double Kettlebell Bottoms Up Push Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
Bar Straddle Back Lever,https://youtu.be/-H0jvoX9D4U?si=JgYHw7fT5duJS_3Q,,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Calisthenics
Bar Straddle Front Lever,,,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Calisthenics
Alternating Double Kettlebell Bottoms Up Push Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
Alternating Double Kettlebell Bottoms Up Overhead Press,https://youtu.be/xjbycsKgqjQ?si=LkTmhk8Js8iT50DU,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
Bar Tuck Back Lever,https://youtu.be/LfyGMZh-Bz4?si=6Cp5HCRlHxaaAXAk,,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Calisthenics
Double Kettlebell Bottoms Up Seesaw Overhead Press,https://youtu.be/HDzbviKeH8A?si=B97qZHv-l5DP5Zwg,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
Bar Tuck Front Lever,https://youtu.be/BDYs4d0-dbs?si=xhEemMS0ZwEdNi-P,,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Calisthenics
Double Kettlebell Bottoms Up Half Kneeling Seesaw Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,None,0,Half Kneeling,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Ring Full Planche Push Up,,,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Calisthenics
Ring Straddle Planche Push Up,,,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Fingertip Full Planche Push Up,https://youtu.be/kw0kXtvOpfU?si=l1qrLXesjuSAv8NK,,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Fingertip,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Calisthenics
Parallette Wall Supported Handstand Push Up,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Grip Push Up,https://youtu.be/d305HI37Rc0,,Expert,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Barbell Overhead Press,https://youtu.be/Oz--LasDphM?si=JVdkguhnIxf9Ho8X,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Ring Shoulder Stand,https://youtu.be/_Jf4hAHEwm8,https://youtu.be/PTW_c05GXdg,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Ring Strap Handstand,https://youtu.be/3cLo1dWPqis,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Ring Handstand,,https://youtu.be/UU2gnuYZYcE,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Ring Strap Handstand Push Up,https://youtu.be/nUt-_d3zP2w,https://youtu.be/BMeac2RxtM0,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Straddle Press Handstand ,https://youtu.be/olR47A-UOYU?si=XvqzFclDvXSJPmsi,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Alternating Step Up,https://youtu.be/lUSmIRNqt9w?si=2Uzz5dQAroAGZKAK,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Bodyweight Step Up,https://youtu.be/V9ButqpLLcw?si=W7rot5ocLsfGP3zd,https://youtu.be/gF9mAgwFV0U?si=-l753jr2phBx6o3o,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Macebell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Macebell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Pike Press Handstand,https://youtu.be/5qjQF8Bwk9Y?si=hKn5hERkDvTWUSxe,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette L Sit to Straddle Press Handstand,https://youtu.be/Hx31luas38Q,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette L Sit to Pike Press Handstand,,https://youtu.be/_cObaNpz7Qo,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Parallette Bars,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Heavy Sandbag Clean to Push Press,https://youtu.be/AVH3_x1LZA4?si=xUfQv7BiQgAH0riW,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Unsorted*
Ring Tuck Front Lever Pull Up,https://youtu.be/7gLyX3Q1KJA,https://youtu.be/F5s7rHb2xLY,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Advanced Tuck Front Lever Pull Up,,,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Double Kettlebell Suitcase Walking Lunge,https://youtu.be/OFSepehKEsg?si=cACSI6X-vniOrBik,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,None,0,Walking,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Order March,,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Clubbell,2,None,0,March,Double Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Single Arm Clubbell Order March,,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Clubbell,1,None,0,March,Single Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Ring Straddle Front Lever Pull Up,,,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Single Arm Ring Push Up,https://youtu.be/9sjQEtGoScA,,Expert,Chest,Pectoralis Major,Triceps Brachii,,Gymnastic Rings,1,None,0,Prone,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,Anti-Rotational ,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
Ring L Sit Muscle Up,https://youtu.be/CP4kwFLxRYg,https://youtu.be/d_UZZJ3WMJE,Expert,Back,Latissimus Dorsi,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,False Grip,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Vertical Push,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Calisthenics
Ring Strict Muscle Up,https://youtu.be/vJTJFc2wmk4,https://youtu.be/j-5Ubq3ZOds,Expert,Back,Latissimus Dorsi,Triceps Brachii,Biceps Brachii,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,False Grip,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Vertical Push,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Suitcase Walking Lunge,https://youtu.be/ojCvehn5SjY?si=tdD_tXPCt_VXy9h3,,Novice,Quadriceps,Quadriceps Femoris,Triceps Brachii,Biceps Femoris,Kettlebell,1,None,0,Walking,Single Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Walking Lunge,https://youtu.be/9C-hKwyOaE4?si=SpYmw0aHIO29g-Cj,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Walking,Single Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Walking Lunge,https://youtu.be/ApTlAc-7lGY?si=SjnB0ffZ9Ws6qo9D,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Walking,Single Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Walking Lunge,https://youtu.be/0D5CejWdGE4?feature=shared,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Walking,Single Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Landmine Isometric Split Squat Shoulder Press,,,Expert,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Isometric Split Squat,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
Single Arm Clubbell Inside Pendulum to Outside Pendulum,,https://youtu.be/eIkqXJ5d7V4?si=wMNBiWYPBNkNHefs,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Clubbell Inside Pendulum,https://youtu.be/KPxWt4X3CYQ?si=LHuzEfvY58pZcQ4P,https://youtu.be/sfzt6cLkFW0?si=PS8mGN_7PKhADecq,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Clubbell Inside Pendulum to Outside Pendulum,,https://youtu.be/GULjXPS_ba4?si=tEzS4-HdvzA8fx13,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Single Arm Clubbell Outside Circle,,https://youtu.be/66BuPCRIPdg?si=SSDiysrTJUP0RpMQ,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Alternating Double Clubbell Outside Circle,,https://youtu.be/5kSlzeUzVUU?si=lw7yT3UxjoIb6l5U,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Double Clubbell Inside Circle to Outside Circle,,https://youtu.be/olY-kqcOHDM?si=ArgXh53D_rsysMnR,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Single Arm Kettlebell Bottoms Up Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Kettlebell Romanian Deadlift,https://youtu.be/keiZFdUgvKQ?si=dkMliNkbyV8fodl2,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Kettlebell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Snatch Balance,https://youtu.be/XuFaD1sAVGI?si=TR-XC6iaJP514gda,https://youtu.be/8KKQTdnxWso?si=Xzo-jpnXcLQ3yPMS,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Olympic Weightlifting 
Parallette Straddle Press to Handstand,https://youtu.be/DRYQDMUVgYE,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Calisthenics
Double Dumbbell Suitcase March,https://youtu.be/Yz0g3nK0UH8?si=uzYt2n3dgbhVRnnW,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,2,None,0,March,Double Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Single Arm Dumbbell Suitcase March,https://youtu.be/l5n8bNkwXFo?si=N5Nmp5n6RrmLD2uu,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,1,None,0,March,Single Arm,Continuous,Neutral,Suitcase,Alternating,No Elevation,Single Exercise,Locomotion,Anti-Lateral Flexion,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Double Dumbbell Front Rack March,https://youtu.be/46yupJpHPBM?feature=shared,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,2,None,0,March,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Single Arm Dumbbell Front Rack March,https://youtu.be/x_pMZHT1PJI?si=gXaoVxcFe0j1mtPQ,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,1,None,0,March,Single Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Double Dumbbell Overhead March,https://youtu.be/Iqc40RmX2t8?si=6XNRQXHsREEsYjGr,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,2,None,0,March,Double Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Single Arm Dumbbell Overhead March,https://youtu.be/6Yw94hTsI2s?si=oPrzNDtNw4g-Xhy-,https://youtu.be/dN2mr1X82vA?si=Oq7QjiM6QhPUpzw9,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Dumbbell,1,None,0,March,Single Arm,Continuous,Neutral,Overhead,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Barbell Front Rack March,https://youtu.be/dSSBwrzbtGI?feature=shared,,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Barbell,1,None,0,March,Double Arm,Continuous,Pronated,Front Rack,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Barbell Back Rack March,,https://youtu.be/QF_3mIHjVqw?si=Auzs6S93LYtOrOtw,Novice,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Barbell,1,None,0,March,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Locomotion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Balance
Barbell Back Rack Alternating Forward Lunge,https://youtu.be/H8YHDNCH5-o?si=niOwS0JaOXdOT4Ip,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Alternating Reverse Lunge,https://youtu.be/fP3L8yqDaYo?si=xq03w4XotIlArOk3,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Alternating Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Alternating Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Alternating Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Single Leg Romanian Deadlift,https://youtu.be/wacHvU9ISqQ?si=6Hco-OabboEOEO3N,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Kettlebell,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Ring Eccentric Chin Up ,https://youtu.be/Vg0K1uuNQLI,,Expert,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,1,None,0,Hanging,Single Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Calisthenics
Parallette Freestanding Handstand,https://youtu.be/Qoyxwu0i5Og?si=v6_bUX0l76eWrYRZ,https://youtu.be/Qcuib7_44qI,Expert,Shoulders,Anterior Deltoids,,,Parallette Bars,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Ring Gironda Sternum Chin Up,https://youtu.be/PUjiG2iQHzk?si=OVi5AVNaOFs0SP5b,https://youtu.be/STqWO-kYEnw,Expert,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Front Rack Contralateral Pistol Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Single Leg Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance
Single Arm Kettlebell Front Rack Ipsilateral Pistol Squat,https://youtu.be/RHj4ErHsJAw?si=ZUMLXqjq5pmMSAf_,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Single Leg Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Balance
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Single Leg Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance
